"control","level","title","subscription","resource","status","details"
"5.27","1","Ensure That the Subscription Has Between 2 and 3 Owners","Production","","FAIL","Non-compliant. Configuration update required."
"5.27","1","Ensure That the Subscription Has Between 2 and 3 Owners","Staging","","PASS","Compliant."
"5.27","1","Ensure That the Subscription Has Between 2 and 3 Owners","Development","","PASS","Compliant."
"6.1.1.1","1","Ensure That a Diagnostic Setting Exists for the Subscription","Production","","PASS","Compliant."
"6.1.1.1","1","Ensure That a Diagnostic Setting Exists for the Subscription","Staging","","PASS","Compliant."
"6.1.1.1","1","Ensure That a Diagnostic Setting Exists for the Subscription","Development","","PASS","Compliant."
"6.1.1.2","1","Ensure Diagnostic Setting Captures Required Log Categories","Production","","FAIL","Non-compliant. Configuration update required."
"6.1.1.2","1","Ensure Diagnostic Setting Captures Required Log Categories","Staging","","PASS","Compliant."
"6.1.1.2","1","Ensure Diagnostic Setting Captures Required Log Categories","Development","","PASS","Compliant."
"6.1.1.3","1","Ensure the Activity Retention Log Is Set to at Least One Year","Production","","FAIL","Non-compliant. Configuration update required."
"6.1.1.3","1","Ensure the Activity Retention Log Is Set to at Least One Year","Staging","","FAIL","Non-compliant. Configuration update required."
"6.1.1.3","1","Ensure the Activity Retention Log Is Set to at Least One Year","Development","","PASS","Compliant."
"6.1.1.4","1","Ensure Diagnostic Logging for Key Vaults Is Enabled","Production","","PASS","Compliant."
"6.1.1.4","1","Ensure Diagnostic Logging for Key Vaults Is Enabled","Staging","","PASS","Compliant."
"6.1.1.4","1","Ensure Diagnostic Logging for Key Vaults Is Enabled","Development","","PASS","Compliant."
"6.1.1.6","2","Ensure App Service Resource Logs Are Enabled","Production","","FAIL","Non-compliant. Configuration update required."
"6.1.1.6","2","Ensure App Service Resource Logs Are Enabled","Staging","","PASS","Compliant."
"6.1.1.6","2","Ensure App Service Resource Logs Are Enabled","Development","","PASS","Compliant."
"6.1.2.1","1","Ensure Activity Log Alert: Create Policy Assignment","Production","","PASS","Compliant."
"6.1.2.1","1","Ensure Activity Log Alert: Create Policy Assignment","Staging","","FAIL","Non-compliant. Configuration update required."
"6.1.2.1","1","Ensure Activity Log Alert: Create Policy Assignment","Development","","PASS","Compliant."
"6.1.2.2","1","Ensure Activity Log Alert: Delete Policy Assignment","Production","","PASS","Compliant."
"6.1.2.2","1","Ensure Activity Log Alert: Delete Policy Assignment","Staging","","PASS","Compliant."
"6.1.2.2","1","Ensure Activity Log Alert: Delete Policy Assignment","Development","","PASS","Compliant."
"6.1.2.3","1","Ensure Activity Log Alert: Create/Update NSG","Production","","PASS","Compliant."
"6.1.2.3","1","Ensure Activity Log Alert: Create/Update NSG","Staging","","PASS","Compliant."
"6.1.2.3","1","Ensure Activity Log Alert: Create/Update NSG","Development","","PASS","Compliant."
"6.1.2.4","1","Ensure Activity Log Alert: Delete NSG","Production","","PASS","Compliant."
"6.1.2.4","1","Ensure Activity Log Alert: Delete NSG","Staging","","FAIL","Non-compliant. Configuration update required."
"6.1.2.4","1","Ensure Activity Log Alert: Delete NSG","Development","","PASS","Compliant."
"6.1.2.5","1","Ensure Activity Log Alert: Create/Update Security Solution","Production","","PASS","Compliant."
"6.1.2.5","1","Ensure Activity Log Alert: Create/Update Security Solution","Staging","","PASS","Compliant."
"6.1.2.5","1","Ensure Activity Log Alert: Create/Update Security Solution","Development","","PASS","Compliant."
"6.1.2.6","1","Ensure Activity Log Alert: Delete Security Solution","Production","","PASS","Compliant."
"6.1.2.6","1","Ensure Activity Log Alert: Delete Security Solution","Staging","","PASS","Compliant."
"6.1.2.6","1","Ensure Activity Log Alert: Delete Security Solution","Development","","FAIL","Non-compliant. Configuration update required."
"6.1.2.7","1","Ensure Activity Log Alert: Create/Update SQL Server Firewall Rule","Production","","PASS","Compliant."
"6.1.2.7","1","Ensure Activity Log Alert: Create/Update SQL Server Firewall Rule","Staging","","PASS","Compliant."
"6.1.2.7","1","Ensure Activity Log Alert: Create/Update SQL Server Firewall Rule","Development","","PASS","Compliant."
"6.1.2.8","1","Ensure Activity Log Alert: Delete SQL Server Firewall Rule","Production","","FAIL","Non-compliant. Configuration update required."
"6.1.2.8","1","Ensure Activity Log Alert: Delete SQL Server Firewall Rule","Staging","","PASS","Compliant."
"6.1.2.8","1","Ensure Activity Log Alert: Delete SQL Server Firewall Rule","Development","","PASS","Compliant."
"6.1.2.9","1","Ensure Activity Log Alert: Create/Update Public IP Address","Production","","PASS","Compliant."
"6.1.2.9","1","Ensure Activity Log Alert: Create/Update Public IP Address","Staging","","PASS","Compliant."
"6.1.2.9","1","Ensure Activity Log Alert: Create/Update Public IP Address","Development","","FAIL","Non-compliant. Configuration update required."
"6.1.2.10","1","Ensure Activity Log Alert: Delete Public IP Address","Production","","PASS","Compliant."
"6.1.2.10","1","Ensure Activity Log Alert: Delete Public IP Address","Staging","","PASS","Compliant."
"6.1.2.10","1","Ensure Activity Log Alert: Delete Public IP Address","Development","","PASS","Compliant."
"6.1.2.11","1","Ensure Activity Log Alert: Service Health Notifications","Production","","FAIL","Non-compliant. Configuration update required."
"6.1.2.11","1","Ensure Activity Log Alert: Service Health Notifications","Staging","","PASS","Compliant."
"6.1.2.11","1","Ensure Activity Log Alert: Service Health Notifications","Development","","ERROR","Could not evaluate: permission denied or timeout."
"6.1.3.1","2","Ensure Application Insights Are Configured","Production","","ERROR","Could not evaluate: permission denied or timeout."
"6.1.3.1","2","Ensure Application Insights Are Configured","Staging","","PASS","Compliant."
"6.1.3.1","2","Ensure Application Insights Are Configured","Development","","PASS","Compliant."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Production","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Production","nsg-app-tier","PASS","NSG 'nsg-app-tier': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Production","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Production","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Staging","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Staging","nsg-app-tier","FAIL","NSG 'nsg-app-tier': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Staging","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Staging","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Development","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Development","nsg-app-tier","ERROR","NSG 'nsg-app-tier': Query timed out after 20s."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Development","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.1","1","Ensure RDP Access From the Internet Is Evaluated and Restricted","Development","nsg-mgmt","FAIL","NSG 'nsg-mgmt': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Production","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Production","nsg-app-tier","ERROR","NSG 'nsg-app-tier': Query timed out after 20s."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Production","nsg-db-tier","INFO","NSG 'nsg-db-tier': Not applicable."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Production","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Staging","nsg-web-tier","FAIL","NSG 'nsg-web-tier': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Staging","nsg-app-tier","PASS","NSG 'nsg-app-tier': No internet-exposed rules found."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Staging","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Staging","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Development","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Development","nsg-app-tier","FAIL","NSG 'nsg-app-tier': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Development","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.2","1","Ensure SSH Access From the Internet Is Evaluated and Restricted","Development","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Production","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Production","nsg-app-tier","PASS","NSG 'nsg-app-tier': No internet-exposed rules found."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Production","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Production","nsg-mgmt","MANUAL","NSG 'nsg-mgmt': Not applicable."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Staging","nsg-web-tier","FAIL","NSG 'nsg-web-tier': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Staging","nsg-app-tier","FAIL","NSG 'nsg-app-tier': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Staging","nsg-db-tier","FAIL","NSG 'nsg-db-tier': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Staging","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Development","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Development","nsg-app-tier","MANUAL","NSG 'nsg-app-tier': Not applicable."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Development","nsg-db-tier","FAIL","NSG 'nsg-db-tier': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.3","1","Ensure That UDP Access From the Internet Is Evaluated and Restricted","Development","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Production","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Production","nsg-app-tier","ERROR","NSG 'nsg-app-tier': Query timed out after 20s."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Production","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Production","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Staging","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Staging","nsg-app-tier","PASS","NSG 'nsg-app-tier': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Staging","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Staging","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Development","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Development","nsg-app-tier","PASS","NSG 'nsg-app-tier': No internet-exposed rules found."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Development","nsg-db-tier","MANUAL","NSG 'nsg-db-tier': Not applicable."
"7.4","1","Ensure That HTTP(S) Access From the Internet Is Evaluated and Restricted","Development","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.5","2","Ensure That Network Watcher NSG Flow Log Retention Period Is 'Greater than 90 Days'","Production","","PASS","Compliant."
"7.5","2","Ensure That Network Watcher NSG Flow Log Retention Period Is 'Greater than 90 Days'","Staging","","PASS","Compliant."
"7.5","2","Ensure That Network Watcher NSG Flow Log Retention Period Is 'Greater than 90 Days'","Development","","PASS","Compliant."
"7.6","1","Ensure That Network Watcher Is 'Enabled'","Production","","FAIL","Non-compliant. Configuration update required."
"7.6","1","Ensure That Network Watcher Is 'Enabled'","Staging","","FAIL","Non-compliant. Configuration update required."
"7.6","1","Ensure That Network Watcher Is 'Enabled'","Development","","PASS","Compliant."
"7.8","2","Ensure That VNet Flow Log Retention Period Is 'Greater than 90 Days'","Production","","PASS","Compliant."
"7.8","2","Ensure That VNet Flow Log Retention Period Is 'Greater than 90 Days'","Staging","","FAIL","Non-compliant. Configuration update required."
"7.8","2","Ensure That VNet Flow Log Retention Period Is 'Greater than 90 Days'","Development","","ERROR","Could not evaluate: permission denied or timeout."
"7.10","2","Ensure That Azure Web Application Firewall Is Enabled for Azure Application Gateway","Production","","PASS","Compliant."
"7.10","2","Ensure That Azure Web Application Firewall Is Enabled for Azure Application Gateway","Staging","","ERROR","Could not evaluate: permission denied or timeout."
"7.10","2","Ensure That Azure Web Application Firewall Is Enabled for Azure Application Gateway","Development","","FAIL","Non-compliant. Configuration update required."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Production","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Production","nsg-app-tier","PASS","NSG 'nsg-app-tier': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Production","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Production","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Staging","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Staging","nsg-app-tier","PASS","NSG 'nsg-app-tier': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Staging","nsg-db-tier","PASS","NSG 'nsg-db-tier': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Staging","nsg-mgmt","PASS","NSG 'nsg-mgmt': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Development","nsg-web-tier","PASS","NSG 'nsg-web-tier': No internet-exposed rules found."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Development","nsg-app-tier","INFO","NSG 'nsg-app-tier': Not applicable."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Development","nsg-db-tier","MANUAL","NSG 'nsg-db-tier': Not applicable."
"7.11","1","Ensure That Virtual Network Security Groups Are Associated to Subnets","Development","nsg-mgmt","FAIL","NSG 'nsg-mgmt': Inbound rule 'AllowAll' allows 0.0.0.0/0 access on restricted port."
"7.12","1","Ensure Application Gateway Is Configured with a Minimum TLS Version of 1.2","Production","","PASS","Compliant."
"7.12","1","Ensure Application Gateway Is Configured with a Minimum TLS Version of 1.2","Staging","","ERROR","Could not evaluate: permission denied or timeout."
"7.12","1","Ensure Application Gateway Is Configured with a Minimum TLS Version of 1.2","Development","","PASS","Compliant."
"7.13","2","Ensure Application Gateway Is Configured with HTTP2 Enabled","Production","","PASS","Compliant."
"7.13","2","Ensure Application Gateway Is Configured with HTTP2 Enabled","Staging","","PASS","Compliant."
"7.13","2","Ensure Application Gateway Is Configured with HTTP2 Enabled","Development","","PASS","Compliant."
"7.14","2","Ensure That Web Application Firewall Request Body Inspection Is Enabled","Production","","FAIL","Non-compliant. Configuration update required."
"7.14","2","Ensure That Web Application Firewall Request Body Inspection Is Enabled","Staging","","PASS","Compliant."
"7.14","2","Ensure That Web Application Firewall Request Body Inspection Is Enabled","Development","","PASS","Compliant."
"7.15","2","Ensure That Web Application Firewall Bot Protection Is Enabled","Production","","PASS","Compliant."
"7.15","2","Ensure That Web Application Firewall Bot Protection Is Enabled","Staging","","ERROR","Could not evaluate: permission denied or timeout."
"7.15","2","Ensure That Web Application Firewall Bot Protection Is Enabled","Development","","PASS","Compliant."
"8.1.1.1","2","Ensure Microsoft Defender CSPM Is Set to 'On'","Production","","PASS","Compliant."
"8.1.1.1","2","Ensure Microsoft Defender CSPM Is Set to 'On'","Staging","","INFO","Not applicable for this subscription."
"8.1.1.1","2","Ensure Microsoft Defender CSPM Is Set to 'On'","Development","","PASS","Compliant."
"8.1.2.1","2","Ensure Microsoft Defender for APIs Is Set to 'On'","Production","","PASS","Compliant."
"8.1.2.1","2","Ensure Microsoft Defender for APIs Is Set to 'On'","Staging","","INFO","Not applicable for this subscription."
"8.1.2.1","2","Ensure Microsoft Defender for APIs Is Set to 'On'","Development","","FAIL","Non-compliant. Configuration update required."
"8.1.3.1","2","Ensure Microsoft Defender for Servers Is Set to 'On'","Production","","PASS","Compliant."
"8.1.3.1","2","Ensure Microsoft Defender for Servers Is Set to 'On'","Staging","","PASS","Compliant."
"8.1.3.1","2","Ensure Microsoft Defender for Servers Is Set to 'On'","Development","","PASS","Compliant."
"8.1.3.3","1","Ensure That Microsoft Defender for Endpoint Integration With Microsoft Defender for Cloud Is Enabled","Production","","PASS","Compliant."
"8.1.3.3","1","Ensure That Microsoft Defender for Endpoint Integration With Microsoft Defender for Cloud Is Enabled","Staging","","INFO","Not applicable for this subscription."
"8.1.3.3","1","Ensure That Microsoft Defender for Endpoint Integration With Microsoft Defender for Cloud Is Enabled","Development","","FAIL","Non-compliant. Configuration update required."
"8.1.4.1","2","Ensure Microsoft Defender for Containers Is Set to 'On'","Production","","PASS","Compliant."
"8.1.4.1","2","Ensure Microsoft Defender for Containers Is Set to 'On'","Staging","","PASS","Compliant."
"8.1.4.1","2","Ensure Microsoft Defender for Containers Is Set to 'On'","Development","","PASS","Compliant."
"8.1.5.1","2","Ensure Microsoft Defender for Storage Is Set to 'On'","Production","","PASS","Compliant."
"8.1.5.1","2","Ensure Microsoft Defender for Storage Is Set to 'On'","Staging","","ERROR","Could not evaluate: permission denied or timeout."
"8.1.5.1","2","Ensure Microsoft Defender for Storage Is Set to 'On'","Development","","INFO","Not applicable for this subscription."
"8.1.6.1","2","Ensure Microsoft Defender for App Service Is Set to 'On'","Production","","ERROR","Could not evaluate: permission denied or timeout."
"8.1.6.1","2","Ensure Microsoft Defender for App Service Is Set to 'On'","Staging","","PASS","Compliant."
"8.1.6.1","2","Ensure Microsoft Defender for App Service Is Set to 'On'","Development","","PASS","Compliant."
"8.1.7.1","2","Ensure Microsoft Defender for Azure Cosmos DB Is Set to 'On'","Production","","PASS","Compliant."
"8.1.7.1","2","Ensure Microsoft Defender for Azure Cosmos DB Is Set to 'On'","Staging","","PASS","Compliant."
"8.1.7.1","2","Ensure Microsoft Defender for Azure Cosmos DB Is Set to 'On'","Development","","INFO","Not applicable for this subscription."
"8.1.7.2","2","Ensure Microsoft Defender for Open-Source Relational Databases Is Set to 'On'","Production","","FAIL","Non-compliant. Configuration update required."
"8.1.7.2","2","Ensure Microsoft Defender for Open-Source Relational Databases Is Set to 'On'","Staging","","FAIL","Non-compliant. Configuration update required."
"8.1.7.2","2","Ensure Microsoft Defender for Open-Source Relational Databases Is Set to 'On'","Development","","PASS","Compliant."
"8.1.7.3","2","Ensure Microsoft Defender for Azure SQL Databases Is Set to 'On'","Production","","PASS","Compliant."
"8.1.7.3","2","Ensure Microsoft Defender for Azure SQL Databases Is Set to 'On'","Staging","","PASS","Compliant."
"8.1.7.3","2","Ensure Microsoft Defender for Azure SQL Databases Is Set to 'On'","Development","","FAIL","Non-compliant. Configuration update required."
"8.1.7.4","2","Ensure Microsoft Defender for SQL Servers on Machines Is Set to 'On'","Production","","PASS","Compliant."
"8.1.7.4","2","Ensure Microsoft Defender for SQL Servers on Machines Is Set to 'On'","Staging","","ERROR","Could not evaluate: permission denied or timeout."
"8.1.7.4","2","Ensure Microsoft Defender for SQL Servers on Machines Is Set to 'On'","Development","","FAIL","Non-compliant. Configuration update required."
"8.1.8.1","2","Ensure Microsoft Defender for Key Vault Is Set to 'On'","Production","","PASS","Compliant."
"8.1.8.1","2","Ensure Microsoft Defender for Key Vault Is Set to 'On'","Staging","","PASS","Compliant."
"8.1.8.1","2","Ensure Microsoft Defender for Key Vault Is Set to 'On'","Development","","PASS","Compliant."
"8.1.9.1","2","Ensure Microsoft Defender for Resource Manager Is Set to 'On'","Production","","FAIL","Non-compliant. Configuration update required."
"8.1.9.1","2","Ensure Microsoft Defender for Resource Manager Is Set to 'On'","Staging","","PASS","Compliant."
"8.1.9.1","2","Ensure Microsoft Defender for Resource Manager Is Set to 'On'","Development","","PASS","Compliant."
"8.1.10","1","Ensure That Microsoft Defender for Cloud Is Set to Assess VMs for OS Updates","Production","","PASS","Compliant."
"8.1.10","1","Ensure That Microsoft Defender for Cloud Is Set to Assess VMs for OS Updates","Staging","","FAIL","Non-compliant. Configuration update required."
"8.1.10","1","Ensure That Microsoft Defender for Cloud Is Set to Assess VMs for OS Updates","Development","","ERROR","Could not evaluate: permission denied or timeout."
"8.1.12","1","Ensure That 'All Users with the Following Roles' Is Set to 'Owner'","Production","","FAIL","Non-compliant. Configuration update required."
"8.1.12","1","Ensure That 'All Users with the Following Roles' Is Set to 'Owner'","Staging","","INFO","Not applicable for this subscription."
"8.1.12","1","Ensure That 'All Users with the Following Roles' Is Set to 'Owner'","Development","","INFO","Not applicable for this subscription."
"8.1.13","1","Ensure a Security Contact Email Is Set for Microsoft Defender for Cloud Notifications","Production","","PASS","Compliant."
"8.1.13","1","Ensure a Security Contact Email Is Set for Microsoft Defender for Cloud Notifications","Staging","","ERROR","Could not evaluate: permission denied or timeout."
"8.1.13","1","Ensure a Security Contact Email Is Set for Microsoft Defender for Cloud Notifications","Development","","INFO","Not applicable for this subscription."
"8.1.14","1","Ensure That 'Send Notifications About Alerts with Severity High or Above' Is Set to 'On'","Production","","PASS","Compliant."
"8.1.14","1","Ensure That 'Send Notifications About Alerts with Severity High or Above' Is Set to 'On'","Staging","","PASS","Compliant."
"8.1.14","1","Ensure That 'Send Notifications About Alerts with Severity High or Above' Is Set to 'On'","Development","","PASS","Compliant."
"8.1.15","1","Ensure That Attack Path Notifications Are Configured","Production","","PASS","Compliant."
"8.1.15","1","Ensure That Attack Path Notifications Are Configured","Staging","","PASS","Compliant."
"8.1.15","1","Ensure That Attack Path Notifications Are Configured","Development","","FAIL","Non-compliant. Configuration update required."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Production","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
